activity,130 lb,155 lb,180 lb,205 lb,Calories per kg,avg_calories,calories_per_130lb,calories_per_155lb,calories_per_180lb,calories_per_205lb,intensity,activity_type,normalized_calories_per_kg,estimated_met
"Cycling, mountain bike, bmx",502.0,598.0,695.0,791.0,1.75072971940299,646.5,502.0,598.0,695.0,791.0,Unknown,Cardio,0.4241578632649011,9.235714285714286
"Cycling, <10 mph, leisure bicycling",236.0,281.0,327.0,372.0,0.823235629850746,304.0,236.0,281.0,327.0,372.0,Low,Cardio,0.1510863065577038,4.342857142857143
"Cycling, >20 mph, racing",944.0,1126.0,1308.0,1489.0,3.29497352835821,1216.75,944.0,1126.0,1308.0,1489.0,High,Cardio,0.8788120390671723,17.382142857142856
"Cycling, 10-11.9 mph, light",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Low,Cardio,0.2722742674905326,6.514285714285714
"Cycling, 12-13.9 mph, moderate",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Moderate,Cardio,0.393860873031692,8.692857142857143
"Cycling, 14-15.9 mph, vigorous",590.0,704.0,817.0,931.0,2.05944308059702,760.5,590.0,704.0,817.0,931.0,High,Cardio,0.5150488339645225,10.864285714285714
"Cycling, 16-19 mph, very fast, racing",708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,High,Cardio,0.63623679489735,13.035714285714286
Unicycling,295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Cardio,0.2118796093282847,5.432142857142857
"Stationary cycling, very light",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Low,Cardio,0.0904923260912897,3.257142857142857
"Stationary cycling, light",325.0,387.0,449.0,512.0,1.13262599402985,418.25,325.0,387.0,449.0,512.0,Low,Cardio,0.2421765995614909,5.975
"Stationary cycling, moderate",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Moderate,Cardio,0.3330675702611123,7.603571428571429
"Stationary cycling, vigorous",620.0,739.0,858.0,977.0,2.16234753432836,798.5,620.0,739.0,858.0,977.0,High,Cardio,0.5453458241977286,11.407142857142857
"Stationary cycling, very vigorous",738.0,880.0,1022.0,1163.0,2.57464235223881,950.75,738.0,880.0,1022.0,1163.0,High,Cardio,0.6667331074347235,13.582142857142856
"Calisthenics, vigorous, pushups, situps…",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,High,Strength,0.393860873031692,8.692857142857143
"Calisthenics, light",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Low,Strength,0.1209886386286627,3.803571428571429
"Circuit training, minimal rest",472.0,563.0,654.0,745.0,1.64782526567164,608.5,472.0,563.0,654.0,745.0,Unknown,Other,0.393860873031692,8.692857142857143
"Weight lifting, body building, vigorous",354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,High,Strength,0.2722742674905326,6.514285714285714
"Weight lifting, light workout",177.0,211.0,245.0,279.0,0.61742672238806,228.0,177.0,211.0,245.0,279.0,Low,Strength,0.0904923260912897,3.257142857142857
Health club exercise,325.0,387.0,449.0,512.0,1.13262599402985,418.25,325.0,387.0,449.0,512.0,Unknown,Other,0.2421765995614909,5.975
Stair machine,531.0,633.0,735.0,838.0,1.85295717014925,684.25,531.0,633.0,735.0,838.0,Unknown,Other,0.4542555311939398,9.775
"Rowing machine, light",207.0,246.0,286.0,326.0,0.721008179104478,266.25,207.0,246.0,286.0,326.0,Low,Cardio,0.1209886386286627,3.803571428571429
"Rowing machine, moderate",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Moderate,Cardio,0.3330675702611123,7.603571428571429
"Rowing machine, vigorous",502.0,598.0,695.0,791.0,1.75072971940299,646.5,502.0,598.0,695.0,791.0,High,Cardio,0.4241578632649011,9.235714285714286
"Rowing machine, very vigorous",708.0,844.0,981.0,1117.0,2.47106089552239,912.5,708.0,844.0,981.0,1117.0,High,Cardio,0.63623679489735,13.035714285714286
Ski machine,413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,Unknown,Other,0.3330675702611123,7.603571428571429
"Aerobics, low impact",295.0,352.0,409.0,465.0,1.02972154029851,380.25,295.0,352.0,409.0,465.0,Unknown,Cardio,0.2118796093282847,5.432142857142857
"Aerobics, high impact",413.0,493.0,572.0,651.0,1.44133935522388,532.25,413.0,493.0,572.0,651.0,High,Cardio,0.3330675702611123,7.603571428571429
"Aerobics, step aerobics",502.0,598.0,695.0,791.0,1.75072971940299,646.5,502.0,598.0,695.0,791.0,Unknown,Cardio,0.4241578632649011,9.235714285714286
"Aerobics, general",384.0,457.0,531.0,605.0,1.33843490149254,494.25,384.0,457.0,531.0,605.0,Unknown,Cardio,0.3027705800279061,7.060714285714286
Jazzercise,354.0,422.0,490.0,558.0,1.23485344477612,456.0,354.0,422.0,490.0,558.0,Unknown,Other,0.2722742674905326,6.514285714285714
